Lon;Lat
-3.645225284;40.3897687
-3.703317807;40.45033105
-3.699375742;40.41246303
-3.692490884;40.40884679
-3.676377276;40.47680706
-3.702188296;40.42904964
-3.65391434;40.39155775
-3.618850584;40.37238111
-3.703978477;40.44696668
-3.703028749;40.45427875
-3.701811364;40.42000686
-3.698983453;40.43491591
-3.613471104;40.37018451
-3.599533888;40.36322146
-3.680990946;40.4044466
-3.639511225;40.38731393
-3.664145352;40.39553551
-3.675137364;40.40125568
-3.666807044;40.48013292
-3.689182341;40.46689362
-3.658685211;40.3926568
-3.669061703;40.39819187
-3.701332287;40.44197376
-3.624724517;40.38216046
-3.698258342;40.46055089
-3.704666475;40.41234081
-3.70110929;40.42618231
-3.695066467;40.46441696
-3.593169837;40.36006503
-3.621308016;40.37959325
-3.783925419;40.38363227
-3.753116583;40.40785518
-3.6858519;40.48040886
-3.774618016;40.39697435
-3.79152548;40.37769758
-3.68986238;40.45842113
-3.69283384;40.49507881
-3.807202279;40.34984122
-3.735637717;40.41640918
-3.709704711;40.42408481
-3.6904035;40.4521354
-3.695209949;40.50119961
-3.635133826;40.55441859
-3.611465759;40.5597624
-3.658599532;40.52759393
-3.635571004;40.53194807
-3.669446787;40.50832463
-3.646883387;40.55047959
-3.637392615;40.54101898
-3.695759278;40.50525032
-3.623403334;40.55037444
-3.6626495;40.5155342
-3.727911159;40.38082724
-3.751916264;40.37199789
-3.77783378;40.35795246
-3.756906024;40.36421751
-3.734171678;40.37585969
-3.739106223;40.373594
-3.831780169;40.35008149
-3.736641504;40.30080675
-3.75682805;40.28873925
-3.759428417;40.32659685
-3.745771718;40.29324358
-3.729638477;40.32906791
-3.740186134;40.33663166
-3.70985858;40.31862322
-3.798909369;40.28267241
-3.73403382;40.30992262
-3.816427066;40.28574839
-3.874715029;40.31652112
-3.76797843;40.32176555
-3.72225015;40.31179863
-3.752668025;40.33474027
-3.771544564;40.32897617
-3.837691908;40.29680382
-3.718203882;40.32422047
-3.86402699;40.30902476
-3.863545433;40.3284971
-3.786982308;40.28683533
-3.806326586;40.28517056
-3.821201089;40.3496796
-3.849343411;40.34589074
-3.86489449;40.32167612
-3.812495254;40.34542573
-3.775876337;40.33615451
-3.872188547;40.33511701
-3.623514403;40.41828444
-3.612070828;40.42239066
-3.694966495;40.41921937
-3.704337221;40.43840594
-3.675912376;40.42453957
-3.639147584;40.42361352
-3.650528497;40.42661312
-3.603312655;40.42374301
-3.669261728;40.42790259
-3.70742568;40.42483752
-3.709429507;40.41808648
-3.680128256;40.42293826
-3.704342022;40.43321672
-3.6858256;40.4207967
-3.707966343;40.42131168
-3.699256778;40.41804936
-3.66366769;40.43088079
-3.697892329;40.38409341
-3.715975032;40.43065877
-3.705667145;40.42012753
-3.693635291;40.3595782
-3.702681993;40.40511862
-3.695855105;40.37502451
-3.700914056;40.40850775
-3.695125551;40.39114618
-3.719452174;40.43501556
-3.694234726;40.40307054
-3.711206486;40.42340891
-3.693191433;40.34153554
-3.694177839;40.36998949
-3.713414286;40.42708
-3.711990993;40.34122314
-3.692651332;40.35089027
-3.667918653;40.44824372
-3.715962574;40.43059578
-3.656188123;40.45582441
-3.676648794;40.43803078
-3.661189836;40.45353465
-3.63560058;40.4638043
-3.691010383;40.42541428
-3.674964502;40.43467125
-3.645820621;40.45944135
-3.652579637;40.4753673
-3.675416373;40.4291641
-3.662905159;40.47686709
-3.638331255;40.46941987
-3.645246662;40.47711117
-3.674823829;40.4441856
-3.70568424;40.42965898
-3.63958235;40.47446699
-3.686637032;40.42543132
-3.682919601;40.42502992
-3.706652231;40.40386919
-3.587529851;40.45778837
-3.6956252;40.4277594
-3.760809653;40.38562452
-3.768135975;40.39480136
-3.608164957;40.44942038
-3.74488166;40.38781832
-3.761019687;40.40323585
-3.6976645;40.4226137
-3.63816409;40.43804243
-3.6749023;40.4324163
-3.594013968;40.45346694
-3.657582365;40.43188854
-3.765354359;40.39056753
-3.751217472;40.38438092
-3.708167578;40.41127437
-3.715963813;40.39735241
-3.682585355;40.43277966
-3.731327676;40.3884634
-3.642834404;40.43569222
-3.711057634;40.40703139
-3.647365166;40.43357684
-3.689545126;40.43315277
-3.626847447;40.44084309
-3.61700473;40.44374289
-3.72361563;40.39334979
-3.739826645;40.38884177
-3.738937772;40.40991964
-3.688641465;40.3930949
-3.741000003;40.39269915
-3.726795069;40.44355521
-3.670409623;40.40696791
-3.6732863;40.4332301
-3.712297358;40.44635716
-3.744300361;40.39922754
-3.695054953;40.39115561
-3.745343133;40.40509473
-3.7180913;40.4465771
-3.668599051;40.42288839
-3.723134262;40.38690231
-3.673860948;40.40206493
-3.718373526;40.38459863
-3.727241956;40.41389472
-3.684064546;40.44378894
-3.669523456;40.41506319
-3.706901007;40.38709277
-3.699255079;40.43837373
-3.717704366;40.47021552
-3.641060838;40.43019755
-3.718411259;40.48009394
-3.652004711;40.43909132
-3.672157755;40.43933626
-3.600156646;40.43339012
-3.712392392;40.45647367
-3.633310367;40.42842044
-3.691495499;40.43824923
-3.713741354;40.43905997
-3.7230534;40.4850272
-3.60788713;40.43298035
-3.662973684;40.43944335
-3.715830358;40.47592079
-3.725899507;40.49510107
-3.615469606;40.42798526
-3.625725983;40.42798426
-3.715983795;40.46482081
-3.569198792;40.42249256
-3.561193228;40.42372991
-3.527184756;40.4177638
-3.5345387;40.41760391
-3.525504192;40.42295168
-3.547931164;40.42514488
-3.535417765;40.42441071
-3.569541068;40.46864417
-3.593254085;40.49175904
-3.582531126;40.4757686
-3.616210052;40.46389128
-3.6770523;40.4565932
-3.648674575;40.46799292
-3.641813746;40.40522026
-3.703170083;40.47688139
-3.6768482;40.4579538
-3.6776315;40.4504367
-3.678220652;40.44426482
-3.679175081;40.46761952
-3.661791533;40.41146804
-3.707522394;40.48465657
-3.678585458;40.41838875
-3.716357309;40.49108858
-3.6793754;40.4297799
-3.635122746;40.40050942
-3.675802343;40.46299967
-3.595982859;40.40131238
-3.602404005;40.40381066
-3.621566677;40.40004254
-3.6958849;40.46943003
-3.608865632;40.40420925
-3.652739767;40.41024021
-3.447526066;40.30366479
-3.477452635;40.31901407
-3.524799759;40.34134104
-3.547281479;40.36676887
-3.520602741;40.32836871
