Lon;Lat
-3.694501269;40.48591895
-3.696998585;40.48499659
-3.699037761;40.48423136
-3.701211684;40.48345929
-3.703331708;40.48268038
-3.704813928;40.48216793
-3.706592593;40.48164865
-3.707904133;40.48142317
-3.709898393;40.48104736
-3.711659091;40.48069206
-3.71336589;40.48033675
-3.714839127;40.48004977
-3.716213549;40.47922982
-3.717489157;40.47849869
-3.718800697;40.47774705
-3.720031389;40.47700224
-3.721477677;40.47612075
-3.722690403;40.47545109
-3.724001943;40.47465842
-3.725502129;40.47398191
-3.7269574;40.47346256
-3.728403688;40.47292954
-3.73043388;40.47292271
-3.73242814;40.47292954
-3.734584097;40.47292954
-3.737602436;40.47351723
-3.739650595;40.47396824
-3.741366377;40.47443291
-3.743091143;40.47439875
-3.744806925;40.47445342
-3.746738303;40.47448075
-3.748274422;40.47454908
-3.749603929;40.4738589
-3.750151901;40.47305938
-3.750628008;40.47236235
-3.750466311;40.47144663
-3.750367497;40.47070175
-3.750196817;40.46990902
-3.750053086;40.46921196
-3.749828507;40.46848755
-3.74972071;40.46789299
-3.74955003;40.46727108
-3.749361383;40.46669701
-3.749190703;40.46604092
-3.748993074;40.46533698
-3.748831377;40.46455786
-3.748310355;40.46386758
-3.747753399;40.46314311
-3.747322208;40.46258267
-3.746917966;40.46207007
-3.746540673;40.46159848
-3.746136432;40.46114738
-3.745786089;40.46066894
-3.745417779;40.46014266
-3.745256083;40.45965054
-3.745130318;40.45915159
-3.745013537;40.45865263
-3.744869807;40.45818101
-3.744788959;40.45781192
-3.744573363;40.45740181
-3.7443937;40.45703954
-3.744196071;40.45667044
-3.743980475;40.45623982
-3.743773862;40.45582286
-3.743558267;40.45541958
-3.743531317;40.45489325
-3.743531317;40.45453097
-3.743558267;40.45410034
-3.743576233;40.45375172
-3.743576233;40.45334843
-3.743594199;40.45297247
-3.743459452;40.45261701
-3.743279789;40.4522889
-3.742956395;40.45181724
-3.7427408;40.45148228
-3.742507238;40.45116784
-3.742300625;40.45083972
-3.742031131;40.45044324
-3.74174367;40.45001257
-3.741483158;40.44950671
-3.741312478;40.44910339
-3.741150782;40.44874108
-3.740944169;40.4482899
-3.740773489;40.44792758
-3.740602809;40.44755843
-3.740432129;40.44720978
-3.74026145;40.44686797
-3.740072803;40.44638943
-3.739956022;40.44595875
-3.739830258;40.44539133
-3.739713477;40.44481023
-3.739587713;40.44426331
-3.739461949;40.44364802
-3.739318219;40.44305324
-3.739192454;40.44236273
-3.739048724;40.44163804
-3.738931943;40.44096803
-3.738913977;40.44027067
-3.738599566;40.43968953
-3.738330072;40.43914257
-3.738114476;40.43867765
-3.737916847;40.43819221
-3.737952779;40.43746747
-3.738015661;40.4370504
-3.738078543;40.43651709
-3.738231257;40.43594959
-3.73843787;40.43510859
-3.738150409;40.43413767
-3.737979729;40.43344707
-3.737809049;40.4328522
-3.73758447;40.43207954
-3.737350908;40.43130003
-3.737189211;40.43065727
-3.73661429;40.42991877
-3.736183098;40.42933754
-3.735680042;40.4287016
-3.735221901;40.42809301
-3.734871558;40.42755963
-3.73425172;40.42708095
-3.733586967;40.42656124
-3.732832382;40.42604837
-3.732185595;40.42559703
-3.731466943;40.42515937
-3.730676425;40.42468068
-3.729930824;40.42427037
-3.728960643;40.42372328
-3.727936564;40.42316251
-3.726867569;40.42282058
-3.725663826;40.42245813
-3.724522966;40.42197942
-3.723615667;40.4215007
-3.722726335;40.42098779
-3.722349043;40.42033125
-3.722052599;40.41977045
-3.722007683;40.41916862
-3.722133447;40.41862149
-3.722214296;40.41806068
-3.722349043;40.41747935
-3.722528706;40.4166176
-3.72265447;40.4159405
-3.7227982;40.41527024
-3.722932948;40.41460681
-3.723067695;40.41399809
-3.722816167;40.41306789
-3.722600571;40.41228133
-3.722438874;40.41154947
-3.722178363;40.4106124
-3.72197175;40.40973004
-3.721774121;40.40892976
-3.721738188;40.40832098
-3.72197175;40.40758908
-3.722214296;40.40682297
-3.722447857;40.40600897
-3.722699386;40.40518811
-3.722573622;40.40442881
-3.722438874;40.40382
-3.722277178;40.4030128
-3.722133447;40.40217139
-3.721666323;40.40143942
-3.721181233;40.40059799
-3.720282918;40.40026278
-3.719213922;40.39981812
-3.71786645;40.39985916
-3.716716606;40.39989337
-3.715611678;40.39989337
-3.714731329;40.39964025
-3.714030643;40.39936661
-3.713338941;40.39890825
-3.712692154;40.39847726
-3.71205435;40.39803258
-3.711425529;40.39762895
-3.71085959;40.39721163
-3.709745679;40.39682852
-3.708838381;40.39654802
-3.7078682;40.39624016
-3.706817172;40.39589125
-3.705649362;40.39550129
-3.704373754;40.39507027
-3.703664085;40.39465978
-3.702882551;40.39420139
-3.701723724;40.39398246
-3.700735577;40.39377721
-3.699810312;40.39353775
-3.698894031;40.39309304
-3.698049614;40.39266201
-3.697321979;40.39229256
-3.696639259;40.39184784
-3.696001456;40.3914168
