Lon;Lat
-3.684449121;40.48240024
-3.684601835;40.48186046
-3.684772514;40.48125918
-3.684916245;40.48073989
-3.685086925;40.48007027
-3.685257605;40.47950314
-3.685437268;40.47892234
-3.685607948;40.47834153
-3.685778628;40.47776755
-3.685949307;40.4771799
-3.686119987;40.47655808
-3.686317617;40.47590209
-3.686488297;40.47523926
-3.686685926;40.47456275
-3.686910505;40.4738589
-3.687081185;40.47312771
-3.68729678;40.47247169
-3.68746746;40.47180199
-3.687674073;40.47109811
-3.687862719;40.47040789
-3.688060348;40.46969717
-3.688248995;40.46902061
-3.688473573;40.46830303
-3.688698152;40.46759912
-3.688850866;40.46697038
-3.688940697;40.4661366
-3.689030529;40.46537799
-3.68912036;40.46468088
-3.689201209;40.4640316
-3.689300024;40.46332081
-3.689371889;40.46258951
-3.689479687;40.46178302
-3.689560535;40.46105853
-3.689641383;40.46025202
-3.689749181;40.45941816
-3.689847996;40.45867314
-3.689946811;40.45773673
-3.690081558;40.4567593
-3.690207322;40.45572033
-3.690333086;40.45470869
-3.690449867;40.45369704
-3.690548682;40.4527879
-3.690683429;40.45178306
-3.690782244;40.45092858
-3.690881058;40.45014929
-3.690952924;40.44937683
-3.691051738;40.44865221
-3.69114157;40.44792075
-3.691231401;40.44716193
-3.691330216;40.44638943
-3.691420048;40.44545969
-3.691473946;40.44466666
-3.691509879;40.44392148
-3.691545812;40.44319681
-3.691590727;40.44247212
-3.691635643;40.44169957
-3.691680559;40.44094752
-3.691716492;40.4402775
-3.691743441;40.4397579
-3.691420048;40.43923145
-3.691096654;40.43867765
-3.690782244;40.43813751
-3.690476817;40.43767259
-3.690162406;40.4371598
-3.689901895;40.43674272
-3.689596468;40.43625044
-3.689300024;40.43579234
-3.689003579;40.43530688
-3.688761034;40.43471202
-3.688626287;40.43408981
-3.688554422;40.43354964
-3.688590354;40.43294793
-3.688761034;40.43236672
-3.688931714;40.43173765
-3.689111377;40.43101968
-3.68929104;40.43034273
-3.689452737;40.42972731
-3.689623417;40.42902983
-3.689794097;40.42840072
-3.68997376;40.42768956
-3.690171389;40.42693735
-3.690351052;40.42626719
-3.690530715;40.42554916
-3.690728345;40.42483797
-3.690890042;40.42420882
-3.69114157;40.42364122
-3.691366149;40.42312148
-3.691563778;40.4226291
-3.691806323;40.42206148
-3.692075818;40.42141863
-3.692327346;40.42083049
-3.692569891;40.42028338
-3.69279447;40.41974994
-3.692983116;40.4192712
-3.693117863;40.41875827
-3.693252611;40.41830689
-3.693378375;40.41788286
-3.693486173;40.41747935
-3.693629903;40.4170006
-3.693755667;40.4165492
-3.693899398;40.41609781
-3.694016179;40.41563957
-3.694123977;40.41531127
-3.694123977;40.41509925
-3.694043128;40.41488723
-3.69396228;40.41466836
-3.693854482;40.41436058
-3.693728718;40.4140528
-3.69362092;40.41373818
-3.693504139;40.41340988
-3.693351425;40.41302686
-3.693198712;40.41260279
-3.693037015;40.41217873
-3.692893285;40.4117615
-3.692749554;40.41135795
-3.692605824;40.41098176
-3.692462093;40.41059872
-3.69230938;40.41014728
-3.692129717;40.40968216
-3.691959037;40.40927176
-3.691824289;40.40882715
-3.692012936;40.40840991
-3.692426161;40.40797897
-3.692848369;40.40754804
-3.693207695;40.40717867
-3.693351425;40.4066588
-3.693396341;40.40611841
-3.693468206;40.40553014
-3.693531088;40.40494186
-3.693602954;40.40434673
-3.693638886;40.40379264
-3.693728718;40.40317014
-3.6937916;40.40256131
-3.693872448;40.40187724
-3.693926347;40.4013026
-3.693980246;40.40074849
-3.694052111;40.4002491
-3.694088044;40.39970182
-3.694168892;40.39914769
-3.694222791;40.39851831
-3.69430364;40.3979026
-3.694366522;40.3972732
-3.694438387;40.39660275
-3.694501269;40.3959323
-3.694582117;40.39535077
-3.694636016;40.39481029
-3.694671949;40.39427665
-3.694752797;40.39372248
-3.694806696;40.39318883
-3.694869578;40.39273043
-3.694896528;40.39227203
-3.694941443;40.39182731
-3.694977376;40.39151943
-3.695031275;40.39119102
-3.695049241;40.39091734
